#FORMAT:Barcode|Name|SaleRate
00090|Roomi|60.0
732131141344|Neem Plus Soap|105.0
1224960011107|Shikakai Soap|100.0
1224960011206|Neem Soap|100.0
8964000345061|Canderel 100 Tablets|260.0
8964000345078|Canderel 200 Tablets|480.0
8964000345085|Canderel 50 Sachets|340.0
6009689192055|Praima Color Brown|55.0
6009689192048|Praima Color Black|55.0
8961014261721|Fair & Lovely 50gm|320.0
8961014263497|Fair & Lovely 25gm|150.0
8961014261660|Fair & Lovely Jar|390.0
8961101231309|Dettol Liquid 500ml|1500.0
689076783873|Kingtox Powder|100.0
6068357302158|Power Plus Black Liquid|270.0
6068357302165|Power Plus Brown Liquid|270.0
6923289308183|Power Plus Black Polish 44ml|220.0
6923289308084|Power Plus Brown Polish 44ml|210.0
8964000578070|Skin White Cream 28gm|95.0
8964000578049|Fair Menz Cream Large|240.0
8964000578087|Skin White Cream Jar|230.0
8964000749425|Kiwi Brown Liquid Polish|445.0
8964000749401|Kiwi Black Liquid Polish|445.0
8964000749098|Kiwi Brown Polish 44ml|435.0
8964000749067|Kiwi Black Polish 44ml|340.0
8964000749036|Kiwi Brown Polish 20ml|225.0
8964000749005|Kiwi Black Polish 20ml|180.0
6001106309732|Cherry Black Polish 20ml|290.0
6001106309749|Cherry Brown Polish 20ml|125.0
4801010560500|Johnsons Soap|180.0
8964000982198|Mothercare Soap|190.0
8964001492283|Shield Deluxe+ Feeder 250ml|275.0
8964001492276|Shield Deluxe+ Feeder 125ml|270.0
8964001492160|Shield Classic Feeder 125ml|210.0
8964003820114|Shield Color Feeder Handle 250ml|175.0
8964003820107|Shield Color Feeder Handle 125ml|170.0
8964002137404|Shield Frost Feeder 125ml|270.0
8964001492207|Shield Evenflo Feeder|165.0
8964001492443|Shield Training Cup 180ml|170.0
8964002137985|Shield Regular Feeder 250ml|200.0
9211212306120|Mumta Feeder Deluxe Plus|140.0
4568674823913|Mumta Feeder Super Plus|160.0
4711146100351|Camera Feeder Small|340.0
4711146100399|Camera Feeder Large|440.0
8964000279816|Mechico Feeder 150ml|115.0
650311482158|Super Hair Oil|295.0
00111|Demash Rat Killer|30.0
000hb|Home Bug Control|170.0
00112|Super Active Rat Killer|50.0
00113|Pasban Rat Boards|80.0
718122104215|Kingtox Rat Killer|85.0
8964000543061|Tyfon Bug Control|320.0
9200475730704|Sensodyne Fluoride 70g|260.0
9200475730308|Sensodyne Fluoride 30g|115.0
9200475731008|Sensodyne Fluoride 100g|350.0
8964001078586|Golden Pearl Cream|340.0
8964000570142|English Antibacterial Paste 135g|215.0
8964000572542|English Regularmint Paste Medium|160.0
8964000572528|English Regularmint Paste Small|50.0
8964000572559|English Regularmint Paste Large|240.0
8886950051468|Colgate Paste 150gm|315.0
8886950051031|Colgate Paste 100gm|215.0
8886950051383|Colgate Paste 200gm|395.0
8886950050225|Colgate Paste 75gm|173.0
8886950051420|Colgate Paste 40gm|65.0
8886950066462|Sparkle 130gm|165.0
8886950066516|Sparkle 200gm|215.0
buxxl|Butterfly xxl|300.0
0buxl|Butterfly xl|390.0
00bum|Butterfly Medium|350.0
9200475761005|Sensodyne Original 100g|350.0
4567995365683|Sensodyne Original 70g|290.0
9200475781003|Sensodyne Multi-Care 100g|345.0
9200475720309|Sensodyne Rapid Action 30g|120.0
9200475780709|Sensodyne Multi-Care 70g|255.0
9200475720705|Sensodyne Rapid Action 70g|290.0
4567995365560|Sensodyne Rapid Action 100g|435.0
8886950056067|Colgate Max Fresh 125g|295.0
8886950056012|Colgate Max Fresh 75g|205.0
8886950052168|Colgate Herbal 150g|300.0
8886950052038|Colgate Herbal 100g|205.0
8886950052243|Colgate Herbal 200+100gm|325.0
8964000570197|Soda White Giant Pack|310.0
8964000570173|Soda White Large Pack|175.0
8964000570166|Soda White Medium Pack|108.0
60014399|Vaseline Petroleum Jelly 50ml|240.0
8964002993796|We Care Petroleum Jelly 100ml|200.0
8964002993833|We Care Petroleum Jelly 50ml|120.0
8964000515075|Mr.White Toothpaste|168.0
8964000515037|Doctor Toothpaste 90gm|245.0
8964000515051|Doctor Toothpaste 140gm|260.0
8964000515020|Doctor Brush Pack 65gm|205.0
8964000515013|Doctor Toothpaste 65gm|185.0
8964000961698|Doctor Toothpaste Long|99.0
8886950049038|Anne French 50gm|165.0
8964000045473|Eu Lotion Jar 100gm|320.0
8964000045459|Eu Cream 75gm|290.0
6291101520137|Medicam 90gm|255.0
6291101520113|Medicam 65gm|195.0
6291101525668|Medicam Brush Pack 180gm|380.0
6291101523633|Medicam Red Gel 125gm|220.0
6291101523688|Medicam Green Gel 75gm|170.0
6291101522636|Medicam 180gm|380.0
6291101523336|Medicam Herbal 75gm|145.0
6291101524227|Medicam Herbal 150gm|260.0
6291101523664|Medicam Blue Gel 125gm|240.0
6291101520106|Medicam 35gm|98.0
8886950055329|Colgate Sensitive 100gm|390.0
8886950049137|Anne French Lotion Jar|190.0
3014260228859|Gillette Gel|950.0
7702018621293|Gillette Foam|850.0
8964000024027|Forhans Toothpaste 65g|175.0
8964000024003|Forhans Toothpaste 140g|295.0
8964000515242|Nexera Toothpaste|205.0
8964000961377|Doctor Brush Pack 180gm|430.0
8964000515006|Doctor Toothpaste 35gm|88.0
8801038562476|Dorco Razor|180.0
7641232076079|Abc Toothpaste|160.0
899432000067|Dentonic Toothpaste 75gm|98.0
8886950054216|Colgate Misvak 100gm|205.0
8964000121085|Hamdard Miswak 70gm|140.0
6291101523626|Medicam Red Gel 75gm|170.0
6291101523657|Medicam Blue Gel 75gm|170.0
6291101520397|Touchme Shaving Cream|155.0
8964000045442|Eu Cream 30gm|145.0
8964000570067|English Antibacterial Paste 65g|128.0
8964000798539|Metromilan 7+|110.0
8964000798546|Metromilan Agarbati|70.0
8964001300236|Metromilan Dua Agarbati|110.0
00m45|Mosgo 45ml|160.0
04444|Pocha Kapra|80.0
00165|Glucose 500gm|200.0
04505|Sirka 800ml|85.0
04504|Sirka 300ml|55.0
04503|Kewra 800ml|75.0
04502|Kewra 300ml|60.0
03226|Arq-E-Gulab 800ml|75.0
6001085120946|Vaseline Petroleum Jelly 100ml|350.0
653341107077|Kingtox Rat Booke|170.0
5000108478119|Quaker Oats 500gm|950.0
