03145|20.0
7647731951107|11.0
7647731957079|5.0
7647731954078|2.0
9647452310045|2.0
8964000499023|6.0
418016|8.0
8964000499160|16.0
8964000499177|21.0
899432000029|9.0
899432000012|12.0
899432000005|20.0
899432000111|36.0
899432000050|0.0
899432000067|3.0
8994320000740025|0.0
899432000074|4.0
899432000128|0.0
8964000515006|22.0
8964000515013|18.0
8964000515020|0.0
8964000515037|10.0
8964000515051|12.0
8964000961377|1.0
8964000961681|7.0
8964000961698|2.0
8964000515075|5.0
8964000515242|17.0
8964000572221|1.0
89640005703951231|0.0
8964000572535|6.0
8964000572559|4.0
8964000572528|0.0
8964000570395123|0.0
8964000571033|8.0
8964000571040|7.0
8964000570241|0.0
8964000570258|0.0
8964000572542|0.0
8964000570067|0.0
8964000570142|0.0
8964000139202|4.0
8964000139110|73.0
8964000192320|6.0
6280541402509|92.0
6280541402608|14.0
6280541402615|0.0
6281652502416|72.0
6281652502515|21.0
6281652502614|0.0
6282039440079|0.0
6284792268006|49.0
6281014440066|6.0
6181014441189|22.0
6028104400117|4.0
6028107700115|31.0
6415009004463|50.0
6060742000212|240.0
6028104400216|8.0
6028100044056|10.0
6028100043059|0.0
6415009004166|2.0
6028104510014|4.0
6281016807256|15.0
6415008004167|12.0
6281057119233|9.0
6283874702230|11.0
6028104400568|48.0
6281653938887|1.0
6283874777542|0.0
6820406410616|1.0
6283874703336|0.0
6028110044053|13.0
6281652887773|4.0
6283874777245|0.0
6282763602323|3.0
6012014305020|5.0
6820406410517|14.0
6281653838781|3.0
6281066997709|0.0
6285001485009|10.0
8963007861581|0.0
8963007860652|20.0
8963007860348|47.0
8963007860331|124.0
8963007860744|2.0
8963007861840|1.0
8963007860140|104.0
8964000045473|9.0
8964000045442|5.0
8964000045459|15.0
8964000047002|1.0
8964000047019|2.0
8964000047026|0.0
8964000047033|0.0
8964000047132|1.0
8964000047125|0.0
8961100022533|896.0
8961100023271|30.0
689076783378|55.0
689076783170|20.0
689076783279|50.0
718122099917|190.0
7137571699364|88.0
653341107077|29.0
689076783873|38.0
718122104215|0.0
7137571776348|43.0
718122103218|5.0
705105558530|104.0
718122102914|3.0
5028217001257|328.0
5028217000991|560.0
5028217001080|2.0
5028217004654|16.0
5028217000779|7.0
5028217005606|20.0
5028217004661|12.0
5028217001035|2.0
50282179999748889|81.0
5028217001486|2.0
5028217006252|8.0
182039000111|3.0
182039000173|7.0
182039000012|12.0
182039000036|0.0
182039000029|0.0
182039000050|2.0
182039000005|3.0
8964000507292|0.0
8964000257685|0.0
8964000259610|3.0
8964000506257|0.0
8964000258347|2.0
8964000259788|1.0
8964000506929|8.0
8964000258309|0.0
8964000506936|9.0
8964000506264000|0.0
8964000505656|2.0
8964000258439|4.0
8964000507087|9.0
8964000506363|6.0
8964000259702|0.0
8964000506264|6.0
8964000258392|0.0
8964000259740|0.0
858167000018|19.0
858167000025|79.0
858167000032|36.0
858167000049|37.0
858167000056|6.0
858167000063|9.0
858167000070|7.0
858167000087|6.0
858167000094|12.0
858167000100|0.0
858167000568|5.0
858167000575|1.0
858167000292|2.0
858167000285|1.0
858167000131|6.0
8961006020015|162.0
8961006070904|134.0
8961006040020|91.0
8961006040044|257.0
8961006040013|2.0
8961006010054|35.0
8961006040136|117.0
8961006040051|81.0
8961006010085|10.0
8964002993833|0.0
8964002993796|3.0
8964000833452|30.0
8964000833520|0.0
8964000833261|22.0
8964000834626|9.0
8964000923047|86.0
8964000923016|79.0
8964000923009|63.0
8964001025061|88.0
8964001026143|6.0
8964001026532|6.0
8964001026549|2.0
8964001026181|33.0
8964001026556|1.0
8964001026198|19.0
8964001024033|274.0
8964001024019|272.0
8964001025023|216.0
00124|131.0
00024|810.0
8964003286828|0.0
8964001385028|73.0
8964001385035|0.0
8964003286149|19.0
8964001385738|11.0
00hs5|22.0
8964003286125|0.0
00040|0.0
00h20|0.0
8964001276630|214.0
8964000039854|113.0
8964000039939|0.0
